"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"Entre Rios","Social, esporte e lazer","VEÍCULO PARA SECRETARIA DE AGRICULTURA","0.00","emendas#544","","","PRONTO","","","sim"
"Zortéa","Saúde e assistência social","AQUISIÇÃO DE VEÍCULO PARA SAÚDE","150000.00","emendas#543","","","PUBLICADO","","","sim"
"Urupema","Infraestrutura e obras","Pavimentação de vias urbanas no Município","200000.00","emendas#542","","","AGUARDANDO PORTARIA","","","sim"
"São José","Autismo (TEA)","Aquisição e implantação de sala sensorial para atendimento educacional","100000.00","emendas#541","","","AGUARDANDO PORTARIA","","","sim"
"São José","Segurança","Aquisição de um veículo automotor destinado à Guarda Municipal","100000.00","emendas#540","","","AGUARDANDO PORTARIA","","","sim"
"Rio Rufino","Outros","Aquisição de combustível para manutenção das atividades da Secretaria Municipal de Obras","100000.00","emendas#539","","","AGUARDANDO PORTARIA","","","validar"
"Rio Rufino","Outros","Custeio de despesas com combustível para a Secretaria Municipal de Obras","200000.00","emendas#538","","","AGUARDANDO PORTARIA","","","validar"
"Ponte Alta do Norte","Infraestrutura e obras","Aquisição de um Rolo Compactador","200000.00","emendas#537","","","PUBLICADO","","","sim"
"Ponte Alta do Norte","Infraestrutura e obras","Manutenção das estradas do Município","100000.00","emendas#536","","","AGUARDANDO PORTARIA","","","sim"
"Lages","Entidades","AQUISIÇÃO DE VEÍCULO PARA O CENTRO DE BEM-ESTAR ANIMAL","160000.00","emendas#535","","","PUBLICADO","","","sim"
"Frei Rogério","Social, esporte e lazer","AQUISIÇÃO DE VAN PARA A SECRETARIA DE TURISMO, CULTURA E ESPORTE","400000.00","emendas#534","","","PUBLICADO","","","sim"
"Campo Belo do Sul","Social, esporte e lazer","Aquisição de equipamentos agrícolas para Secretaria Municipal de Agricultura","150000.00","emendas#532","","","PUBLICADO","","","sim"
"Bom Retiro","Infraestrutura e obras","Aquisição de Rolo Compactador e Motoniveladora","300000.00","emendas#531","","","PUBLICADO","","","sim"
"Bom Retiro","Social, esporte e lazer","Aquisição de implementos agrícolas para a Secretaria Municipal de Agricultura","150000.00","emendas#530","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Social, esporte e lazer","Revitalização da Praça Palestina","450000.00","emendas#529","","","PUBLICADO","","","sim"
"São João do Sul","Infraestrutura e obras","Custeio Infraestrutura","250000.00","emendas#528","","","AGUARDANDO PORTARIA","","","sim"
"Sangão","Autismo (TEA)","TEA - Terapia Ocupacional e Ecoterapia","200000.00","emendas#527","","","PUBLICADO","","","sim"
"Rodeio","Infraestrutura e obras","Aquisição de materiais necessários à execução de obras de pavimentação e drenagem","150000.00","emendas#526","","","PUBLICADO","","","sim"
"Rio Negrinho","Autismo (TEA)","Investimento em recursos tecnológicos para a APAE","100000.00","emendas#525","","","AGUARDANDO PORTARIA","","","sim"
"Rio Fortuna","Saúde e assistência social","Custeio de Exames para Atendimento ás Demandas da Saúde","200000.00","emendas#524","","","PUBLICADO","","","sim"
"Orleans","Outros","Aquisição de veículo para secretaria de Administração","300000.00","emendas#523","","","PUBLICADO","","","validar"
"Lebon Régis","Entidades","Recurso para Secretaria de Assistência Social","150000.00","emendas#522","","","PUBLICADO","","","sim"
"Laguna","Infraestrutura e obras","Pavimentação de trecho com 188 metros de extensão da rua Fernando Antônio dos Santos - Perrixil","350000.00","emendas#521","","","PUBLICADO","","","sim"
"Jaguaruna","Infraestrutura e obras","Pavimentação da Rua Santa Cecília, Bairro Encruzo","150000.00","emendas#520","","","PUBLICADO","","","sim"
"Ituporanga","Infraestrutura e obras","Aquisição de Insumos para Infraestrutura da localidade de Rio Bonito e Rio dos Bugres","200000.00","emendas#519","","","PUBLICADO","","","sim"
"Imbituba","Infraestrutura e obras","Pavimentação da Rua Evaristo Lima, bairro Campo D´Aviação","300000.00","emendas#518","","","PUBLICADO","","","sim"
"Imaruí","Infraestrutura e obras","Aquisição de veículo para secretaria de Infraestrutura","200000.00","emendas#517","","","PUBLICADO","","","sim"
"Grão-Pará","Saúde e assistência social","Custeio para secretaria municipal de Saúde","300000.00","emendas#516","","","PUBLICADO","","","sim"
"Gaspar","Infraestrutura e obras","Pavimentação da Rua Paulo Reinert, bairro Santa Terezinha","400000.00","emendas#515","","","PUBLICADO","","","sim"
"Entre Rios","Entidades","Aquisição de veículo destinado ao uso exclusivo do Conselho Tutelar","146690.00","emendas#514","","","PUBLICADO","","","sim"
"Criciúma","Saúde e assistência social","Aquisição de Computadores para Secretaria Municipal de Saúde","350000.00","emendas#513","","","PUBLICADO","","","sim"
"Capivari de Baixo","Infraestrutura e obras","Melhorias no campo de futebol do bairro ilhotinha, compreendendo a implantação de sistema de iluminação e o fechamento em vidro da sede existente no local","200000.00","emendas#512","","","PUBLICADO","","","sim"
"Capivari de Baixo","Segurança","Serviços de desassoreamento e limpeza de valas de drenagem no município","300000.00","emendas#511","","","PUBLICADO","","","sim"
"Braço do Norte","Infraestrutura e obras","Pavimentação de trecho da Estrada Geral Rio Amélia","500000.00","emendas#510","","","PUBLICADO","","","sim"
"Cerro Negro","Educação e inovação","CONSTRUÇÃO DE REFEITÓRIO NO NÚCLEO MUNICIPAL CONSTÂNCIO JOSÉ DA SILVA","200000.00","emendas#502","","","PUBLICADO","","","sim"
"Capivari de Baixo","Outros","AQUISIÇÃO DE MATERIAIS DE CONSTRUÇÃO E MATERIAIS ELÉTRICOS DESTINADOS À REFORMA, MANUTENÇÃO E ADEQUAÇÃO DOS CAMPOS DE FUTEBOL PERTENCENTES AO MUNICÍPIO","150000.00","emendas#501","","","PUBLICADO","","","validar"
"Zortéa","Infraestrutura e obras","INFRAESTRUTURA NO MUNICÍPIO - RUA ADELINA BRANCHER","200000.00","emendas#500","","","PUBLICADO","","","sim"
"Gravatal","Social, esporte e lazer","APOIO PARA O NATAL NAS ÁGUAS 2026","300000.00","emendas#499","","","PENDENTE","","","sim"
"Gravatal","Social, esporte e lazer","APOIO PARA A 2ª FESTA DAS ORIGENS DE GRAVATAL","150000.00","emendas#498","","","PENDENTE","","","sim"
"Tubarão","Entidades","CLUBE DE MÃES - Custeio das atividades","100000.00","emendas#497","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Infraestrutura e obras","Investimento em Infraestrutura","300000.00","emendas#496","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Outros","SERTAO DOS CORREAS - Investimento Sede Social","100000.00","emendas#495","","","AGUARDANDO PORTARIA","","","validar"
"Tubarão","Autismo (TEA)","APAE - Equoterapia e Terapia Ocupacional","400000.00","emendas#494","","","AGUARDANDO PORTARIA","","","sim"
"Treviso","Entidades","Construção Capela Mortuária","200000.00","emendas#493","","","AGUARDANDO PORTARIA","","","sim"
"Sangão","Autismo (TEA)","TEA - Equoterapia e Terapia Ocupacional","200000.00","emendas#491","","","AGUARDANDO PORTARIA","","","sim"
"Rodeio","Infraestrutura e obras","Investimentos em infraestrutura","150000.00","emendas#490","","","AGUARDANDO PORTARIA","","","sim"
"Petrolândia","Entidades","CLUBE DE MÃES - Custeio das atividades","100000.00","emendas#489","","","AGUARDANDO PORTARIA","","","sim"
"Orleans","Outros","Compra de veículo para Administração Municipal","300000.00","emendas#488","","","AGUARDANDO PORTARIA","","","validar"
"Laguna","Autismo (TEA)","APAE - Equoterapia e Terapia Ocupacional","350000.00","emendas#487","","","AGUARDANDO PORTARIA","","","sim"
"Forquilhinha","Infraestrutura e obras","Pavimentação","150000.00","emendas#485","","","AGUARDANDO PORTARIA","","","sim"
"Criciúma","Infraestrutura e obras","Investimento em Infraestrutura","300000.00","emendas#484","","","AGUARDANDO PORTARIA","","","sim"
"Capivari de Baixo","Segurança","Pavimentação","300000.00","emendas#483","","","AGUARDANDO PORTARIA","","","sim"
"Capivari de Baixo","Autismo (TEA)","APAE - Compra veículo passageiros","300000.00","emendas#481","","","AGUARDANDO PORTARIA","","","sim"
"Braço do Norte","Infraestrutura e obras","Pavimentação Rio Amélia","400000.00","emendas#480","","","AGUARDANDO PORTARIA","","","sim"
"Armazém","Autismo (TEA)","APAE - Equoterapia e Terapia Ocupacional","100000.00","emendas#479","","","AGUARDANDO PORTARIA","","","sim"
"Irineópolis","Entidades","Aquisição de um veículo para a Secretaria de Assistência Social do município","150000.00","emendas#478","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Lebon Régis","Social, esporte e lazer","Fornecimento e Instalação de Piso para o Ginásio Municipal de Esportes","200000.00","emendas#476","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Antônio Carlos","Agricultura","Solicitação de recursos para aquisição de trator cabinado","300000.00","emendas#475","","","PAGO","","","sim"
"Gravatal","Outros","2 CARROS DE PASSEIO","0.00","emendas#474","","","PRONTO","","","validar"
"Gravatal","Saúde e assistência social","AMBULÂNCIA SAMU - PROGRAMA FEDERAL","480000.00","emendas#473","","","PRONTO","","","sim"
"Sangão","Outros","01 KIT DE TRANSPOSIÇÃO DE OBSTÁCULOS A SER INSTALADO NA COMUNIDADE DE MORRO GRANDE","0.00","emendas#472","","","ARQUIVADO","","","validar"
"Sangão","Social, esporte e lazer","GINÁSIO DE ESPORTES","5900000.00","emendas#471","","","PRONTO","","","sim"
"Capivari de Baixo","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA NA RUA ANTONIA DE BITTENCOURT BARCELOS - INDUSTRIAL","523537.16","emendas#470","","","PAGO PARCIAL","","","sim"
"Sangão","Outros","INVESTIMENTO NO SISTEMA VIÁRIO DO MUNICÍPIO","500000.00","emendas#469","","","PRONTO","","","validar"
"Rio Fortuna","Infraestrutura e obras","PAVIMENTAÇÃO DE TRECHO DA ESTRADA GERAL RIO CAFÉ, NO MUNICÍPIO DE RIO FORTUNA/SC","600000.00","emendas#468","","","PRONTO","","","sim"
"Paulo Lopes","Educação e inovação","CRECHE JOELMA DE BONA","2300000.00","emendas#467","","","PRONTO","","","sim"
"Paulo Lopes","Infraestrutura e obras","REVITALIZAÇÃO GINÁSIO DE ESPORTES E DAS RUAS PORTUGAL E ROZELINDA TEREZINHA DA COSTA SÁ","600000.00","emendas#466","","","PRONTO","","","sim"
"Paulo Lopes","Infraestrutura e obras","PAVIMENTAÇÃO DE DIVERSAS RUAS NO MUNICÍPIO DE PAULO LOPES/SC","1000000.00","emendas#465","","","PRONTO","","","sim"
"Imbituba","Infraestrutura e obras","PAVIMENTAÇÃO DA RUA MARGARIDA ALVES DAMÁSIO, IMBITUBA/SC","215000.00","emendas#464","","","PRONTO","","","sim"
"Imbituba","Infraestrutura e obras","PAVIMENTAÇÃO, DRENAGEM E ACESSIBILIDADE RUA VOLNEI SOARES","375000.00","emendas#463","","","PENDENTE","","","sim"
"Imbituba","Infraestrutura e obras","PAVIMENTAÇÃO E DRENAGEM NA RUA LUIZ GONZAGA DE AMORIM, IMBITUBA/SC","515000.00","emendas#462","","","ARQUIVADO","","","sim"
"Gravatal","Infraestrutura e obras","PAVIMENTAÇÃO RUA VERGÍLIO SERAFIM FERNANDES EM TERMAS","1250000.00","emendas#461","","","PRONTO","","","sim"
"Armazém","Infraestrutura e obras","PAVIMENTAÇÃO DE VIAS NO MUNICÍPIO DE ARMAZÉM/SC","500000.00","emendas#460","","","PRONTO","","","sim"
"Gravatal","Social, esporte e lazer","DOAÇÃO DE DOIS VEÍCULOS PARA AS SECRETARIAS DE SERVIÇOS URBANOS, OBRAS E AGRICULTURA","0.00","emendas#459","","","PRONTO","","","sim"
"Garopaba","Outros","DOAÇÃO DE UM VEÍCULO AUTOMOTIVO DE CINCO PORTAS PARA A SEC DE ADM","0.00","emendas#458","","","ARQUIVADO","","","validar"
"Cocal do Sul","Social, esporte e lazer","1ª EDIÇÃO DA FESTA DO COLONO E DO CAMINHONEIRO - 24 A 28 DE SETEMBRO DE 2025","0.00","emendas#457","","","ARQUIVADO","","","sim"
"Passo de Torres","Social, esporte e lazer","FESTA MUNICIPAL DE NAVEGANTES - 31/01 A 02/02/2026 - ENVIADO SECRETÁRIO 16/10/25","100000.00","emendas#456","","","ARQUIVADO","","","sim"
"Passo de Torres","Outros","4ª SEMANA FARROUPILHA - 13 A 20 DE SETEMBRO DE 2025","50000.00","emendas#455","","","PAGO","","","validar"
"Tubarão","Outros","LETS BEER FESTIVAL - 18 A 21 DE OUTUBRO DE 2023","19040.00","emendas#454","","","PAGO","","","validar"
"Tubarão","Social, esporte e lazer","FESTA JUNINA DO BAIRRO PASSAGEM (SANTA TEREZINHA) - 5 A 12 DE JUNHO DE 2025","20000.00","emendas#453","","","PAGO","","","sim"
"Sangão","Social, esporte e lazer","2ª FESTA DA CULTURA DO MUNICÍPIO DE SANGÃO - 22 A 25 DE MAIO DE 2025","15000.00","emendas#452","","","PRONTO","","","sim"
"Paulo Lopes","Outros","4ª FEIRA AGROPOLO - 23 A 25 DE MAIO DE 2025","20000.00","emendas#451","","","PRONTO","","","validar"
"Paulo Lopes","Outros","2ª FEIRA AGROPOLO - 12 A 14 DE MAIO DE 2023","20000.00","emendas#450","","","PRONTO","","","validar"
"Garopaba","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - CUSTEIO","150000.00","emendas#449","","","PAGO","","","sim"
"São Ludgero","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - AMPLIAÇÃO PSICOLOGIA E PSIQUIATRIA","107000.00","emendas#448","","","PAGO","","","sim"
"Treze de Maio","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO PARA COMPRA DE UMA AMBULÂNCIA SAÚDE","350000.00","emendas#447","","","PAGO","","","sim"
"Gravatal","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - CUSTEIO","150000.00","emendas#446","","","PAGO","","","sim"
"Pedras Grandes","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - INVESTIMENTO EM INFRA. DE ATENDIMENTO DE UNIDADES BÁSICAS DE SAÚDE","200000.00","emendas#445","","","PAGO","","","sim"
"Turvo","Autismo (TEA)","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - ATENDIMENTO AUTISMO","100000.00","emendas#444","","","PAGO","","","sim"
"Sangão","Saúde e assistência social","APOIO FINANCEIRO AO MUNICÍPIO NA ÁREA DA SAÚDE - CUSTEIO DE EXAMES DE BAIXA, MÉDIA E ALTA COMPLEXIDADE","150000.00","emendas#443","","","PAGO","","","sim"
"Orleans","Saúde e assistência social","FUNDAÇÃO HOSPITALAR SANTA OTILIA","100000.00","emendas#442","","","PRONTO","","","sim"
"Imaruí","Saúde e assistência social","CUSTEIO HOSPITAL ASSOCIAÇÃO SANTA CASA SÃO JOÃO BATISTA","150000.00","emendas#441","","","PRONTO","","","sim"
"Meleiro","Saúde e assistência social","HOSPITAL COMUN SÃO JUDAS TADEU - CUSTEIO","200000.00","emendas#440","","","PRONTO","","","sim"
"Gravatal","Saúde e assistência social","REALIZAÇÃO DE EXAMES","105584.84","emendas#439","","","PRONTO","","","sim"
"Garopaba","Saúde e assistência social","EXAMES DE IMAGEM: TOMOGRAFIAS, RESSONÂNCIAS MAGNÉTICAS E ULTRASSOM","300000.00","emendas#438","","","PRONTO","","","sim"
"Pescaria Brava","Saúde e assistência social","APOIO AO CUSTEIO PARA EXAMES DE RESSONÂNCIA MAGNÉTICA","127561.93","emendas#436","","","PRONTO","","","sim"
"Gravatal","Saúde e assistência social","APOIO AO CUSTEIO PARA SAÚDE","100000.00","emendas#435","","","PRONTO","","","sim"
"Gravatal","Infraestrutura e obras","Pavimentação de trecho da Estrada Municipal Várzea das Canoas","2518000.00","emendas#434","","","AGUARDANDO PORTARIA","","","sim"
"Pescaria Brava","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA VIÁRIA pavimentação asfáltica da Avenida Eliete - Trecho 03","2316000.00","emendas#433","","","PAGO","","","sim"
"Orleans","Infraestrutura e obras","PAVIMENTAÇÃO ASFÁLTICA DA RUA VEREADOR ELIAS BUSSOLO, NO BAIRRO SAMUEL SANDRINI","2316000.00","emendas#432","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","PROJETO EXECUTIVO DA DRAGAGEM, DA ÁREA DO PORTO DE LAGUNA, COM REMODELAGEM DOS MOLHES","5000000.00","emendas#431","","","PUBLICADO","","","sim"
"Tubarão","Infraestrutura e obras","PAVIMENTAÇÃO E DRENAGEM PLUVIAL DA AVENIDA PEDRO ZAPELINI -410 METROS, PAVIMENTAÇÃO Е DRENAGEM PLUVIAL RUA DOZE DE OUTUBRO 312 METROS.","2000000.00","emendas#430","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Vitor Meireles","Infraestrutura e obras","Aquisição de materiais pétreos para pavimentação parcial da Rodovia VMS-075","150000.00","emendas#429","","","EM ANALISE","","","sim"
"Urubici","Infraestrutura e obras","Pavimentação em asfalto da Rua Ana Warmling Stange","300000.00","emendas#428","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Urubici","Infraestrutura e obras","O recurso para pavimentação da Rua João Locks","200000.00","emendas#427","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Tubarão","Educação e inovação","Custeio para Secretaria de Esporte - APROET / ADFT / CHURRASCADA / ROBÓTICA / VÔLEI","350000.00","emendas#426","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Infraestrutura e obras","Pavientação da Rua Vespúcio Claudino e de um trecho da Rua Manoel Rosendo Linhares - (CTG)","100000.00","emendas#425","","","AGUARDANDO PORTARIA","","","sim"
"Tubarão","Entidades","Projeto CDL - Elaboração de projeto para implantação de redes subterrâneas de distribuição de energia elétrica","350000.00","emendas#424","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Rio Negrinho","Infraestrutura e obras","Pavimentação de parte da Rua Luiz Bernardo Olsen","250000.00","emendas#423","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Rio dos Cedros","Infraestrutura e obras","PAVIMENTAÇÃO DA RCD-430 (Trecho1), BAIRRO RIO ESPERANÇA","300000.00","emendas#422","","","PUBLICADO","","","sim"
"Rio do Oeste","Agricultura","Aquisição de equipamentos agrícolas","150000.00","emendas#421","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Presidente Getúlio","Infraestrutura e obras","Reperfilamento e recomposição asfáltica superficial da Rua Ruy Barbosa, do bairro Primavera","400000.00","emendas#420","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Ponte Alta do Norte","Entidades","Custeio e manutenção das atividades da Secretaria de Assistência Social","100000.00","emendas#419","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Peritiba","Educação e inovação","Atividade na área da educação, atividades de educação básica","100000.00","emendas#418","","","AGUARDANDO PORTARIA","","","sim"
"Painel","Agricultura","Aquisição de implementos","100000.00","emendas#417","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Nova Veneza","Social, esporte e lazer","Manutenção no Ginásio de Esportes do São Bento Baixo","300000.00","emendas#416","","","AGUARDANDO PORTARIA","","","sim"
"Morro da Fumaça","Infraestrutura e obras","Aquisição de Massa Asfáltica para Pavimentação e Manutenção Viária","200000.00","emendas#415","","","AGUARDANDO PORTARIA","","","sim"
"Leoberto Leal","Outros","Concretagem do piso de Centro de Eventos","200000.00","emendas#414","","","AGUARDANDO DOCUMENTACAO","","","validar"
"Jacinto Machado","Infraestrutura e obras","Pavimentação de Trecho da Estrada Geral Arizona","500000.00","emendas#409","","","EM ANALISE","","","sim"
"Ituporanga","Agricultura","Implementos agrícolas","200000.00","emendas#408","","","AGUARDANDO PORTARIA","","","sim"
"Ituporanga","Infraestrutura e obras","Insumos para Infraestrutura","200000.00","emendas#407","","","AGUARDANDO PORTARIA","","","sim"
"Ituporanga","Infraestrutura e obras","Pavimentação de Ruas no Perímetro Urbano","635000.00","emendas#406","","","PUBLICADO","","","sim"
"Ituporanga","Infraestrutura e obras","Pavimentação em concreto da Serra de Chapadão Santana","365000.00","emendas#405","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Imbituba","Infraestrutura e obras","Pavimentação da D.S. Rua Evaristo Lima, no bairro Campo D'aviação","300000.00","emendas#403","","","AGUARDANDO PORTARIA","","","sim"
"Imaruí","Infraestrutura e obras","Aquisição de Véiculo Caminhão para a Secretaria de Infraestrutura","200000.00","emendas#402","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Herval D'oeste","Infraestrutura e obras","Pavimentação da Rua João Cassimiro da Silva","300000.00","emendas#401","","","AGUARDANDO PORTARIA","","","sim"
"Capinzal","Infraestrutura e obras","Pavimentação de parte da Rua Pica-Pau, localizada no Loteamento Recanto dos Pássaros","450000.00","emendas#400","","","PUBLICADO","","","sim"
"Agronômica","Infraestrutura e obras","Revitalização do Centro de Eventos Roberto Westphal, Rua 7 de Setembro, bairro Mosquito","200000.00","emendas#399","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Witmarsum","Infraestrutura e obras","Aquisição de insumos para a pavimentação de 300 m da Serra do Sertãozinho","200000.00","emendas#398","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Vidal Ramos","Infraestrutura e obras","Aquisição de insumos para pavimentação em concreto de 200m da estrada vicinal na Comunidade de Flamenguinho","100000.00","emendas#397","","","PAGO","","","sim"
"Tubarão","Infraestrutura e obras","Aquisição de materiais para pavimentação e drenagem de vias no município","742830.00","emendas#396","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Tubarão","Infraestrutura e obras","Pavimentação de vias no município","557170.00","emendas#395","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Treze Tílias","Infraestrutura e obras","Aquisição de placas de sinalização turística para a Secretaria Municipal de Turismo","200000.00","emendas#394","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Três Barras","Infraestrutura e obras","Pavimentação da rua Adão Santarém no Distrito de São Cristóvão","500000.00","emendas#393","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Timbé do Sul","Infraestrutura e obras","ILUMINAÇÃO PORTAL DA CIDADE","100000.00","emendas#392","","","PUBLICADO","","","sim"
"São Pedro de Alcântara","Outros","Aquisição de um veículo utilitário para uso da Secretaria Municipal de Administração","100000.00","emendas#391","","","AGUARDANDO DOCUMENTACAO","","","validar"
"São Martinho","Outros","Aquisição de uma Retro Escavadeira 4 x 4, para Secretaria de Transporte e Obras","200000.00","emendas#390","","","AGUARDANDO DOCUMENTACAO","","","validar"
"São Domingos","Outros","Custeio de atividades da secretaria municipal de urbanismo do Município","150000.00","emendas#389","","","AGUARDANDO DOCUMENTACAO","","","validar"
"São Domingos","Social, esporte e lazer","Reforma, Ampliação e Modernização do Parque Infantil da Praça Germano Griss","150000.00","emendas#388","","","AGUARDANDO DOCUMENTACAO","","","sim"
"São Bonifácio","Social, esporte e lazer","Aquisição de Van para o Esporte","250000.00","emendas#387","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Sangão","Infraestrutura e obras","Pavimentação com lajotas de concreto em diversas vias do município: Rua das Palmeiras, Rua Angelo Felisberto Trecho II, Rua Odocia Goulart Savalaio, Rua Zulmira Garcia Patrício, Rua Aberlardo Virgínio, Rua Pedra Machado, Rua Gumercindo Goulart, Rua Débora Marta Valigura, Rua Altemir Domingos, Rua Projetada nº 47, Rua Lígia da Luz Dias, Rua Projetada.","850000.00","emendas#386","","","EM ANALISE","","","sim"
"Salto Veloso","Agricultura","Aquisição de 01 Carreta Agrícola Basculante 6T e 01 Distribuidor de Dejetos com capacidade de 6.000 litros","100000.00","emendas#385","","","EM ANALISE","","","sim"
"Rio do Campo","Infraestrutura e obras","Apoio financeiro para manutenção de estradas vicinais","200000.00","emendas#384","","","EM ANALISE","","","sim"
"Praia Grande","Saúde e assistência social","Aquisição de Medicamentos para Secretaria Municipal de Saúde","200000.00","emendas#383","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Pedras Grandes","Infraestrutura e obras","Pavimentação de Trecho da Estrada Geral Rio Coral","300000.00","emendas#382","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Ouro","Social, esporte e lazer","Aquisição de 4 Distribuidores de Adubo Orgânico Liquido para atendimento das demandas da Sec. de Agricultura","150000.00","emendas#381","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Orleans","Infraestrutura e obras","Recuperação Asfáltica da Rua Januário Mazon","400000.00","emendas#380","","","PAGO","","","sim"
"Orleans","Infraestrutura e obras","Pavimentação da Estrada Geral Taipa","500000.00","emendas#379","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Nova Veneza","Infraestrutura e obras","Pavimentação da Rua José Lino Junkes, na Comunidade de São Bonifácio, distrito de São Bento Baixo","400000.00","emendas#378","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Morro da Fumaça","Saúde e assistência social","SOLICITADO TROCA -> Apoio financeiro através de custeio da Secretaria Municipal de Saúde (Era Construção de Praça Coberta localizada no centro)","500000.00","emendas#377","","","EM ANALISE","","","sim"
"Maravilha","Infraestrutura e obras","Execução de obras de infraestrutura voltadas ao esporte, revitalização e adequação de áreas esportivas públicas, como quadras, ginásios e campos.","150000.00","emendas#376","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Lauro Müller","Infraestrutura e obras","Pavimentação Asfáltica da Rua Dionísio Adriano, bairro Mina Nova","400000.00","emendas#375","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Imaruí","Infraestrutura e obras","Pavimentação do trecho final da rodovia IMA 451, na localidade do Rio Prainha","100000.00","emendas#374","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Grão-Pará","Infraestrutura e obras","Aquisição de Caminhão Caçamba para a Secretaria Municipal de Obras","450000.00","emendas#373","","","PUBLICADO","","","sim"
"Capivari de Baixo","Infraestrutura e obras","Pavimentação da Rua Maria de Fátima da Costa, Bairro Santa Lúcia","300000.00","emendas#372","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Capivari de Baixo","Social, esporte e lazer","Apoio Financeiro para Melhorias e Revitalização da Praça no Bairro Paraiso","250000.00","emendas#371","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Capivari de Baixo","Social, esporte e lazer","Aquisição de Veiculo Transporte Passageiros Departamento de Esporte","300000.00","emendas#370","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Braço do Norte","Infraestrutura e obras","Contração de Horas Máquinas para Execução de Serviços de Terraplanagem em Vias","450000.00","emendas#369","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Benedito Novo","Infraestrutura e obras","Pavimentação da Rua Karl Blaese – Ribeirão dos Russos Ribeirão Treze - obra em andamento","200000.00","emendas#368","","","PUBLICADO","","","sim"
"Antônio Carlos","Infraestrutura e obras","TROCA DE OBJETO - Pavimentação e Sinalização da Servidão dos Kuhn. (antes era para Rua Domingos Manoel Rocha)","450000.00","emendas#366","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Água Doce","Agricultura","Aquisição de máquinas, equipamentos e implementos agrícolas","100000.00","emendas#365","","","AGUARDANDO DOCUMENTACAO","","","sim"
"Vidal Ramos","Agricultura","Verificar com Deputado a Troca - (problemas na relação) Recurso para aquisição de implementos agrícolas para atender às demandas dos produtores rurais","150000.00","emendas#364","","","PAGO","","","sim"
"Urussanga","Outros","Recurso para implantar programa de hidroginástica destinado a pacientes com indicação médica","150000.00","emendas#363","","","PUBLICADO","","","validar"
"Urubici","Infraestrutura e obras","Recurso para infraestrutura hídrica e projeto de lazer da Associação de Moradores de São Pedro e São José","100000.00","emendas#362","","","AGUARDANDO DOCUMENTACAO","","","sim"
