"LOCAL","AREA","ENTREGA/PROJETO","VALOR","FONTE","MATERIA","POST","STATUS","OBSERVACAO","area_manual","publicar"
"São Bonifácio","Social, esporte e lazer","CUSTEIO ESPORTE","100000.00","emendas#139","","","PAGO","","","sim"
"Sangão","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#138","","","PAGO","","","sim"
"Rio Rufino","Outros","REFORMA DO PARQUE DE EXPOSIÇAO CAETANO COSTA","200000.00","emendas#137","","","PAGO","","","validar"
"Rio Negrinho","Saúde e assistência social","AQUISIÇAO DE EQUIPAMENTOS SAUDE","100000.00","emendas#136","","","PAGO","","","sim"
"Presidente Getúlio","Saúde e assistência social","CUSTEIO SAUDE","300000.00","emendas#135","","","PAGO","","","sim"
"Praia Grande","Outros","INVESTIMENTO EM TURISMO","100000.00","emendas#134","","","PAGO","","","validar"
"Pedras Grandes","Infraestrutura e obras","PAVIMENTAÇAO","350000.00","emendas#133","","","PAGO","","","sim"
"Painel","Saúde e assistência social","AQUISIÇÃO DE EQUIPAMENTOS SAUDE","100000.00","emendas#132","","","PRONTO","","","sim"
"Morro Grande","Agricultura","IMPLEMENTOS AGRÍCOLAS","200000.00","emendas#131","","","PAGO","","","sim"
"Morro da Fumaça","Educação e inovação","CUSTEIO EM EDUCAÇÃO","450000.00","emendas#130","","","PAGO","","","sim"
"Lebon Régis","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","200000.00","emendas#129","","","PAGO","","","sim"
"Laguna","Autismo (TEA)","CUSTEIO PARA ATENDIMENTO DE PESSOAS COM TEA POR MEIO DE EQUOTERAPIA","290439.24","emendas#128","","","PAGO","","","sim"
"Lages","Outros","CASTRAÇÃO DE ANIMAIS NA SERRA CATARINENSE","100000.00","emendas#127","","","EM ANALISE","","","validar"
"Ituporanga","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA","350000.00","emendas#126","","","PAGO","","","sim"
"Içara","Educação e inovação","CUSTEIO EDUCAÇAO","300000.00","emendas#125","","","PAGO","","","sim"
"Gaspar","Infraestrutura e obras","INVESTIMENTO EM INFRAESTRUTURA AQUISIÇÃO DE BOMBA P/ DIQUE (SERTÃO VERDE)","200000.00","emendas#124","","","PAGO","","","sim"
"Garopaba","Educação e inovação","CUSTEIO EDUCAÇAO","200000.00","emendas#123","","","PAGO","","","sim"
"Entre Rios","Saúde e assistência social","CUSTEIO SAUDE","100000.00","emendas#122","","","PAGO","","","sim"
