fonte,ig_media_id,object_story_id,tipo,data,permalink,legenda
"instagram","18386796589156322","","REELS","2026-03-15T23:50:15+0000","https://www.instagram.com/reel/DV7Io-KjQU4/","É UMA HONRA! 🤝 É uma honra receber o reconhecimento como o deputado q"
"instagram","18110509987759914","","REELS","2026-03-15T18:25:15+0000","https://www.instagram.com/reel/DV6jzptANP3/","AUTISMO É PRIORIDADE 💙 Participei da inauguração da AMA em Rio Rufino"
"instagram","18072122804199977","","FEED","2026-03-14T12:24:17+0000","https://www.instagram.com/p/DV3VpfeAM5g/","JUSTIÇA PARA O CASO ORELHA! 🚨 Votei SIM pela federalização do Caso Or"
"instagram","17963427510026071","","FEED","2026-03-13T17:00:44+0000","https://www.instagram.com/p/DV1QlTGAD5a/","🚨OLHOS ABERTOS, VITÓRIA DO BRASIL 🇧🇷 O STF formou maioria para mant"
"instagram","18076342364419956","","REELS","2026-03-12T22:04:27+0000","https://www.instagram.com/reel/DVzNyB_gEee/","VÍNCULO TAMBÉM ENSINA 💙 Uma criança com autismo não precisa recomeçar"
"instagram","18108905053813827","","REELS","2026-03-10T21:17:20+0000","https://www.instagram.com/reel/DVt_YclDc1n/","BOA NOTÍCIA PRA URUPEMA ❄️🏙️ Mesmo com a noitinha chegando, não deixa"
"instagram","17954650377085498","","FEED","2026-03-09T15:36:42+0000","https://www.instagram.com/p/DVq0B1iDZIA/","PROTEGER TAMBÉM É CUIDAR 🚨📱 Muita gente ainda acha que é “só um jogo"
"instagram","17977673156825554","","FEED","2026-03-08T12:40:02+0000","https://www.instagram.com/p/DVn6sU8gL36/","FELIZ DIA DAS MULHERES 🌷 Hoje é dia de celebrar todas as mulheres. E "
"instagram","17905467252203575","","REELS","2026-03-07T15:46:54+0000","https://www.instagram.com/reel/DVlrAdIjUL-/","O MAIOR ESCÂNDALO DA REPÚBLICA? O caso do Banco Master é um absurdo. P"
"instagram","18190302202314986","","REELS","2026-03-06T14:12:57+0000","https://www.instagram.com/reel/DVi7hANjcWN/","COMUNIDADE UNIDA 🤝 Foi uma alegria participar da inauguração do Centr"
