ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
18065478617342975,2026-04-27,REELS,Autismo / TEA,aprovado,TEA/autismo (fica todos),Público autismo / SC,160,138,22,AUTISMO E IPVA: UM DIREITO QUE MUITA GENTE AINDA NÃO SABE 🚗💙 Muita g,https://www.instagram.com/reel/DXpg2Nqgewx/
18002738894740546,2025-03-19,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,160,146,14,APRENDENDO MANDARIM E IMPULSIONANDO EMPREGOS! 🤝 🇨🇳 Explorando oport,https://www.instagram.com/reel/DHY0Az-Ocus/
18085262056487679,2024-12-17,REELS,Institucional / Agenda,removido,fora de 2025-2026,,160,140,20,ASSINADO! ✍️ Nosso termo de cooperação para o desenvolvimento do censo,https://www.instagram.com/reel/DDsp7yuOKZO/
18190491874289953,2024-06-30,FEED,Cultura e Tradição,removido,fora de 2025-2026,,160,157,3,Com esse friozinho aquela deliciosa sopa na 114ª Festa de São Pedro em,https://www.instagram.com/p/C82GVW5uPx0/
17842709952027723,2023-07-16,FEED,Institucional / Agenda,removido,fora de 2025-2026,,160,157,3,Quem não gosta de uma tainha assada em um domingo de sol? 🐟 Essa aqui,https://www.instagram.com/p/CuxSCuUuxAu/
17990197426972384,2023-05-17,REELS,Institucional / Agenda,removido,fora de 2025-2026,,160,152,8,Uma verdadeira maratona! 💪💼 Hoje participei da Comissão de Tecnologi,https://www.instagram.com/reel/CsXF28wO8BP/
18084878312067666,2025-11-01,FEED,Institucional / Agenda,avaliar,sem regra (revisar),Armazém,159,154,5,💙 Casa cheia em Armazém! Que energia incrível estar com tantas lidera,https://www.instagram.com/p/DQfn7HVjeDs/
18000566306485489,2023-10-31,REELS,Obras e Entregas,removido,fora de 2025-2026,,159,148,11,"FIQUE ATENTO! 🚨 Em defesa da Redragagem do Rio Tubarão, estaremos ama",https://www.instagram.com/reel/CzEcm3pOOqk/
18088439765520125,2026-04-10,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),cidade da obra,158,146,12,"MAIS PAVIMENTAÇÃO, MAIS QUALIDADE DE VIDA 🛣️ Uma máquina que vai acel",https://www.instagram.com/reel/DW9LIjfgFbP/
18423288346040571,2024-03-08,FEED,Institucional / Agenda,removido,fora de 2025-2026,,158,153,5,"Elas são tudo pra mim! minha razão de viver, minha alegria, meu mundo.",https://www.instagram.com/p/C4QGcnSukd6/
18144976942459473,2025-12-30,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,157,136,21,"Ano corrido de muito trabalho, confere aí o que a Siri trouxe pra gent",https://www.instagram.com/reel/DS5ziPvga64/
18412059511117355,2025-10-11,REELS,Atualidades,removido,base de atualidades cai,,157,157,0,CORAGEM PELA DEMOCRACIA A perseguição de um regime autoritário que tra,https://www.instagram.com/reel/DPrrpj0AQyz/
18173849383320485,2025-03-12,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,157,145,12,"Simplificando os convênios estaduais! 🎯 Agora, apenas a parte repassa",https://www.instagram.com/reel/DHHAvCyJOar/
17913731129970399,2024-07-25,REELS,Obras e Entregas,removido,fora de 2025-2026,,157,147,10,ORGULHO EM FAZER PARTE DESSA CONQUISTA 🚀 Olhar lá na frente e ver a c,https://www.instagram.com/reel/C922_EPJH29/
18080731637642171,2026-06-10,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),cidade da obra,156,149,7,🚒 SEGURANÇA QUE FICA PARA O FUTURO Mais uma importante entrega para o,https://www.instagram.com/reel/DZayE7cAE8M/
17845147938009539,2023-06-20,REELS,Institucional / Agenda,removido,fora de 2025-2026,,155,142,13,"Defender o meio ambiente sim, frear o desenvolvimento não! Impor medid",https://www.instagram.com/reel/CtuidD7JmgF/
18174590965259760,2023-02-16,REELS,Institucional / Agenda,removido,fora de 2025-2026,,155,142,13,"Na conversa com a @magdatuba e o @ramon._silveira na @radiotuba, falam",https://www.instagram.com/reel/Covau_UDwD_/
18320871625180042,2024-06-27,FEED,Institucional / Agenda,removido,fora de 2025-2026,,154,150,4,Saudade Delas! ❤ @brubrunelcollaco @manu_brunel_collaco,https://www.instagram.com/p/C8uGZxuIIrd/
17936811494666442,2023-11-26,REELS,Institucional / Agenda,removido,fora de 2025-2026,,154,150,4,"Lelê adora a época do Natal, e há um motivo especial! Sabemos que part",https://www.instagram.com/reel/C0H_qt3uP64/
17935486367606295,2023-07-08,REELS,Rural e Agro,removido,fora de 2025-2026,,154,152,2,"FEAGRO! 🐂 A maior feira do gado Jersey da América Latina, várias expo",https://www.instagram.com/reel/Cuc2PQQO6kd/
17843854712969134,2023-04-03,REELS,Autismo / TEA,removido,fora de 2025-2026,,154,143,11,🧩 Autismo é uma maneira diferente de ver o mundo. Venha participar do,https://www.instagram.com/reel/Cqlth_PDTYQ/
17976751514048628,2023-02-27,FEED,Institucional / Agenda,removido,fora de 2025-2026,,154,141,13,➡️ Conheça 5️⃣ projetos que farão a diferença no nosso Estado. Vamos b,https://www.instagram.com/p/CpLj8sguIWe/
18036447616791528,2024-06-11,REELS,Cultura e Tradição,removido,fora de 2025-2026,,153,127,26,APROVADO NA CCJ ✅ 🇮🇹🍽️ O Tombo da Polenta como patrimônio cultural ,https://www.instagram.com/reel/C8Fo5KeplQT/
18024897971416429,2025-03-15,REELS,Rural e Agro,removido,agro sem realização,,152,132,20,"🚜🌱 Agora, carne e leite de caprinos e ovinos estão garantidos na ali",https://www.instagram.com/reel/DHOglVhOoZk/
18059144938770026,2024-10-26,FEED,Cultura e Tradição,removido,fora de 2025-2026,,152,148,4,“Orgulho em cada movimento! Minhas meninas arrasaram no festival de ju,https://www.instagram.com/p/DBlwOjrOnef/
18344428951133733,2024-10-08,FEED,Institucional / Agenda,removido,fora de 2025-2026,,152,148,4,Voltamos com tudo! 🚀 CCJ e plenário a todo o vapor para fazer leis ef,https://www.instagram.com/p/DA4KOQ0SNOJ/
17890475370028233,2024-06-20,REELS,Institucional / Agenda,removido,fora de 2025-2026,,152,142,10,VISITE O FAROL DE LAGUNA! 🌅✨ ACERTOU QUEM PENSOU NO FAROL DE SANTA MA,https://www.instagram.com/reel/C8dAZbKOTQj/
18290582884080364,2024-03-02,FEED,Institucional / Agenda,removido,fora de 2025-2026,,152,149,3,"A serra catarinense é linda, e eu posso provar! 😉 📍 Serra do Corvo B",https://www.instagram.com/p/C4ByR4EOx8T/
17857977360474652,2025-08-19,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,151,147,4,UNIÃO PROGRESSISTA: NOVO CAPÍTULO NA POLÍTICA 🇧🇷 Nossa convenção Pro,https://www.instagram.com/p/DNi8oy0O8Z3/
