id,nome,campaign_id,campanha,adset_id,objetivo,status,gasto_brl,impressoes,alcance,cliques,cpm_brl,ctr_pct,engajamento,video_plays
120243057267570716,"GANHOU TERRA [ VISUALIZAÇÃO INSTA] [19-04-2926 R$ 50,00",120240075562730716,CAMP | 2026 | Institucional | Engajamento | SC,120243057267490716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.75,35644,35475,242,1.96,0.68,29717,35354
120239970346330716,"NOVA VENEZA[view][INSTAGRAN][R$70,00 03/02/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120239970345850716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.74,16882,15272,65,4.13,0.39,11257,16265
120240075586690716,"IÇARA[view][INSTAGRAN][R$70,00 06/02/2026 R$ 70,00",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120240075586680716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.44,14419,12589,42,4.82,0.29,8304,13652
120240832527240716,"CAPIVARI DE BAIXO[view][INSTAGRAN][R$70,00] 27/02/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120240832527230716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,69.42,22529,19857,156,3.08,0.69,15004,21714
120243356555450716,"ORLEANS[view][INSTAGRAN][ 24/04/2026 R$ 70,00",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120243356554800716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,66.48,16057,12553,53,4.14,0.33,8302,15579
120239032388040716,"TRUMP VENEZUELA [View] [reels]R$50,00",120239032107950716,PEPE [2026][Visualização][Reels],120239032388050716,LINK_CLICKS,Not available,58.85,8619,7692,427,6.83,4.95,4129,7926
120227514517140716,"PORTODASC[Video View SC][Visualização de Feed][08/06/25][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120227514517150716,OUTCOME_ENGAGEMENT,Not available,54.96,5537,3690,13,9.93,0.23,632,0
120235476396060716,"PESCARIA BRAVA 13 ANOS][Video View SC][Visualização de Feed][07/04/25][INSTR$50,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120235476396070716,OUTCOME_ENGAGEMENT,Not available,54.93,6600,3618,62,8.32,0.94,686,0
120247804491680716,Hospital,120246784137180716,CAMP | 2026 | Institucional | Reconhecimento | SC,120247804491690716,OUTCOME_AWARENESS,ACTIVE,50.0,9475,7993,105,5.28,1.11,4958,9161
120243057175620716,AUTISMO - [ENGAJAMENTO] - INSTAGRAN R$50,120242272123350716,CAMP | 2026 | Autismo | Engajamento | SC,120243057175630716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,5227,3220,123,9.57,2.35,849,5033
120241209110790716,"CRIANÇAS NA INTERNET [view][INSTAGRAN][R$50,00] 09/03/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120241209110800716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,18334,17222,727,2.73,3.97,14299,17553
120239970346130716,"AMUREL[view][INSTAGRAN][R$50,00] 03/02/2026",120239970345540716,CAMP | 2026 | Institucional | Engajamento | AMUREL,120239970345700716,OUTCOME_ENGAGEMENT,Not available,50.0,14114,10834,145,3.54,1.03,6907,13416
120232686817250716,"BRACO DO NORTETUBARÃO[view][INSTAGRAN][R$50,00 06/09/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120232686817240716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,18447,13364,254,2.71,1.38,10024,17641
120232574045860716,"PROERD TUBARÃO[view][INSTAGRAN][R$50,00 04/09/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120232574045850716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,12231,9825,147,4.09,1.2,7197,11819
120231357951100716,"centro de inovação[view][INSTAGRAN][R$50,00] 13/08/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120231357951090716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,9081,6642,132,5.51,1.45,4414,8644
120230778066960716,"GRAO PARA[view varzea][INSTAGRAN][R$50,00] 30/07/2025",120216242475770716,CAMP | 2025 | Institucional | Engajamento | Tubarao,120230778066950716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,16804,11409,293,2.98,1.74,11100,16036
120226642193700716,"[antonio carlos][Video View REGIAO][25/05/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120226642193710716,OUTCOME_ENGAGEMENT,Not available,50.0,12062,11179,38,4.15,0.32,6547,11556
120225416543360716,"[FERROVIAVideo View Brasil][Visualização de video][09/05/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120225416543370716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,21179,21179,58,2.36,0.27,10270,21106
120224127099980716,"[azambuja][Video View REGIAO][29/04/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120224127099990716,OUTCOME_ENGAGEMENT,Not available,50.0,13034,12020,40,3.84,0.31,5768,12615
120223878585900716,"[PESCARIA BRAVA]-[Video View Brasil][27/04/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120223878585910716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,16277,16254,57,3.07,0.35,8545,16191
120223585916180716,"[PAPA]-[Video View Brasil][24/04/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120223585916190716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,16411,15992,48,3.05,0.29,11321,16321
120223251386120716,"[USA & CHINA]Video View Brasil][21/04/25][INSTR$50,00]",120214284225260716,CAMP | 2024 | Institucional | Engajamento | Brasil,120223251386110716,OUTCOME_ENGAGEMENT,CAMPAIGN_PAUSED,50.0,13328,12589,27,3.75,0.2,7355,13080
120223064397780716,"MORRO DOS CAVALOS][Video View SC][Visualização de Feed][07/04/25][INSTR$20,00]",120216047481540716,CAMP | 2025 | Feed-Institucional | Engajamento | Tubarao,120223064397790716,OUTCOME_ENGAGEMENT,Not available,50.0,13547,11144,20,3.69,0.15,2687,0
120217704236940716,"[EIKTO VISITA][Video View REGIAO][Visualização de video][26/02/24][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120217704236950716,OUTCOME_ENGAGEMENT,Not available,50.0,9408,8662,40,5.31,0.43,4285,8621
120217154385520716,"[jagua][Video View REGIAO][Visualização de video][22/02/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120217154385530716,OUTCOME_ENGAGEMENT,Not available,50.0,8446,7577,17,5.92,0.2,3756,7835
120216868616380716,"[EIKTO][Video View REGIAO][Visualização de video][20/02/25][INSTR$50,00]",120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120216868616390716,OUTCOME_ENGAGEMENT,Not available,50.0,9657,8614,46,5.18,0.48,3870,8999
120215581016910716,[RIO FORTUNA][Região Sul][R$50][INST][28/01/2025,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120215581016920716,OUTCOME_ENGAGEMENT,Not available,50.0,16132,15106,68,3.1,0.42,9932,15695
120215259814060716,[ORLENAS][video view][Região Sul][R$50][INST][21/01/2025,120213903594780716,JFJ - [Engajamento][Video View][Aumentar Visualização de video][02/12/24],120215259814070716,OUTCOME_ENGAGEMENT,Not available,50.0,11842,11151,49,4.22,0.41,9356,11574
