ig_media_id,data,tipo,tema,conexao_pontual,curtidas,comentarios,engajamento,legenda,permalink
17856955958913461,2023-02-28,REELS,Institucional,,445,35,480,Dias corridos nos fazem agradecer por estarmos vivos e trabalhando! 🚀,https://www.instagram.com/reel/CpOV8l_DwtA/
18057291323452552,2025-09-03,REELS,Institucional,sim,462,12,474,PROERD PARABÉNS! 👏 Ver a minha Manuzinha nesse programa enche meu cor,https://www.instagram.com/reel/DOJa3OigOz0/
17963733500647497,2023-11-02,REELS,Institucional,,347,127,474,🚨PRECISO DA AJUDA DE VOCÊS 👇🏼 Manuzinha quer que esse vídeo chegue ,https://www.instagram.com/reel/CzJS-_7Oc6i/
17895362267711503,2023-03-27,REELS,Institucional,,445,24,469,🤓Fique atento: O lançamento da Frente Parlamentar em Defesa da Pessoa,https://www.instagram.com/reel/CqTlN0FD2gE/
18004257872426892,2024-04-16,REELS,Institucional,,416,51,467,🕕6 HORAS! Um absurdo que conhecemos muito bem! Enquanto o sul ficou i,https://www.instagram.com/reel/C51xVloO02U/
17942793968824663,2025-02-04,REELS,Institucional,,419,41,460,"📢 INICIATIVA NOSSA, GANHANDO DESTAQUE 💙 O projeto do censo será entr",https://www.instagram.com/reel/DFqcsXuyMWC/
18011808277987184,2023-11-04,FEED,Institucional,,432,26,458,Sem palavras! ❤️💚,https://www.instagram.com/p/CzPg8RqOSv2/
17850730155349432,2025-01-30,REELS,Institucional,,422,35,457,🚧 Mobilidade e segurança no Sul de SC! 🚧 Seguimos firmes na luta pel,https://www.instagram.com/reel/DFdRxhHpQbp/
18063154037225782,2025-07-16,REELS,Educacao,,422,34,456,🎓 UNIVERSIDADE GRATUITA! 💥 Tem gente se endividando por acreditar em,https://www.instagram.com/reel/DML5pjEp1Mk/
18065668043088437,2025-05-07,REELS,Institucional,,430,24,454,🌎 Uma ferrovia pode mudar tudo. 🚂 Santa Catarina no centro de uma ro,https://www.instagram.com/reel/DJXjc4SpTRz/
18052194983469967,2026-02-08,REELS,Saude,,425,25,450,"ESPORTES COM ESTRUTURA ⚽️🏟️ Mais que futebol: é convivência, saúde e ",https://www.instagram.com/reel/DUgBjIcgMSH/
18069643852793040,2025-05-24,FEED,Institucional,,432,16,448,Que Jesus esteja sempre contigo. Te amamos filha! ❤️ Um dia especial e,https://www.instagram.com/p/DKDUZW8RZHc/
18043101259470213,2023-07-13,REELS,Institucional,sim,372,76,448,"PARABÉNS, PEPÊ! 🎊 Hoje, nós confiscamos o Instagram do Pepê pra que e",https://www.instagram.com/reel/CuotbjGO-kY/
18163008562362698,2026-01-04,REELS,Institucional,,436,8,444,"🛢️ DITADURA, OURO E INTERESSES ESCONDIDOS 💰 Sim, Maduro é um ditador",https://www.instagram.com/reel/DTG0zjyDUvf/
